country,year
3 июля 2020 года  — настоящее время4 ноября 2022 года 5 января 2024 года  — 12 июля 2024 года4 июня 2024 года  — настоящее время,
,
5 декабря 2013 года  — настоящее время28 ноября 2014 года  — 30 октября 2015 года,
20 июня 2018 года  — 5 марта 2021 года,
20 декабря 2012 года  — 21 октября 2013 года1 октября 2013 года  — 1 мая 2020 года1 июля 2014 года  — 25 декабря 2016 года9 сентября 2014 года  — настоящее время1 апреля 2016 года  — настоящее время27 мая 2016 года  — настоящее время1 августа 2017 года  — настоящее время,
10 февраля 2006 года  — настоящее время27 ноября 2007 года  — 27 декабря 2017 года,
1976 год  — 1977 год28 июня 2024 года  — настоящее время,
,
12 апреля 2021 года  — настоящее время4 декабря 2024 года,
9 сентября 2009 года  — 9 апреля 2021 года,
,
1987 год  — 1996 год,
,
,
,
15 июня 2019 года  — настоящее время,
,
,
,
6 ноября 2016 года  — настоящее время,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1991 год  — настоящее время1999 год  — 2005 год2005 год  — 2012 год2014 год  — 2018 год2018 год  — 2023 год2023 год  — настоящее время,
,
1989 год  — 1991 год1992 год  — 2006 год1997 год  — 1998 год,
,
,
,
,
,
,
,
,
,
,
,
,
1996 год  — 2004 год,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1996 год  — 2002 год,
,
,
1993 год  — настоящее время,
,
,
,
2001 год  — 2001 год,
22 февраля 1997 года  — 22 апреля 2000 года2002 год  — 2005 год,
июль 1997 — декабрь 19971997 год  — 1998 год2003 год  — 2007 год,
,
,
Октябрь 2000 — Декабрь 2000,
,
,
10 мая 1999 года  — 4 апреля 2000 года,
,
,
,
,
,
1995 год  — 2013 год,
17 февраля 1989 года  — настоящее время,
,
апрель 2003 — настоящее время,
,
24 ноября 1994 года  — 26 ноября 1997 года18 апреля 1996 года  — 18 января 1997 года1996 год  — 1997 год1997 год  — 1998 год,
,
апрель 2001 — июнь 20019 августа 2002 года  — 20 июня 2002 года,
1998 — 20022 апреля 2002 года  — 28 декабря 2002 года,
11 декабря 1996 — 25 марта 2000,
1997 год  — 2001 год,
23 октября 2000 года  — 23 августа 2001 года,
1997 год  — 2002 год,
2000 год  — 2001 год,
,
,
1972 год  — 1973 год1997 год  — 2000 год1999 год  — 2004 год2014 год  — 2020 год,
19 ноября 1973 года  — 14 октября 1983 года,
,
,
,
,
13 ноября 1996 года  — 18 июня 2008 года,
1996 год  — 2002 год,
22 ноября 1996 года  — 31 июля 2000 года2016 год  — 2023 год,
,
1995 год  — 2001 год,
25 сентября 1988 года  — 25 апреля 2014 года20 июля 2007 года  — 2007 год,
2000 год  — 2002 год2000 год  — 2001 год27 февраля 2001 года  — 2002 год,
,
февраль 1999 — июнь 2002,
,
,
16 декабря 1994 года  — 9 июля 2000 года26 июля 2000 года  — 9 декабря 2005 года,
21 октября 1998 года  — 31 декабря 2001 года,
,
январь 1985 — январь 1992,
,
1974 год  — апрель 1975 года,
"1992 год  —, ?",
,
1 октября 1990 года  — 17 июня 1996 года,
,
,
,
,
май 1992 — октябрь 1995июль 1994 — март 1996,2002 год  — настоящее время
1994 год  — 1995 год,
1993 год  — 1996 год,
1992 год  — 2005 год,
1989 год  — 1996 год,
,
,
,
,
,
1990 год  — 1994 год,
,
,
,
,
,
,
1991 год  — 1992 год,
1989 год  — 2001 год,
,
,
,
13 апреля 1981 года  — 9 мая 1988 года18 апреля 1994 года  — 1 сентября 1997 года2001 год  — 2004 год2001 год  — 2008 год2009 год  — 2012 год2013 год  — настоящее время,
1 октября 1973 года  — 1 апреля 1974 года1973 год  — 1974 год1973 год  — 1974 год1973 год  — 1974 год8 июля 1992 года  — 7 апреля 1993 года21 августа 2001 года  — 29 июля 2003 года28 ноября 2003 года  — 1 июля 2005 года22 июня 2004 года  — 14 февраля 2006 года,
,
1993 год,
1992 год  — 1996 год,
1983 год  — 1984 год,
,
,
,
1987 год  — 2003 год,
1988 год  — 1988 год,
1993 год  — 1994 год,
1980 год  — 2001 год,
1993 год  — 1994 год,
,
1994 год  — 1995 год,
,
,
18 октября 1994 года  — 26 сентября 2001 года,
,
,
,
5 января 1990 года  — 1997 год,
1991 год  — 2000 год,
,
,
,
,
,
14 июня 1993 года  — 4 сентября 1995 года17 сентября 2005 года  — 17 сентября 2011 года,
1997 год  — декабрь 1998,
,
,
,
,
1994 год  — 1995 год,
,
,
,
15 апреля 1999 года  — 15 марта 2000 года26 июня 1999 года  — 1 марта 2002 года2004 год  — 2005 год,
1953 год  — 1956 год1958 год  — 1958 год1963 год  — 1966 год1967 год  — 1968 год,
30 марта 2000 года  — TBA,
2007 год  — настоящее время,
,
1 апреля 1995 года  — 1 января 1997 года1 октября 1997 года  — 2007 год2010 год  — настоящее время2010 год  — настоящее время,
,
,
,
1997 год  — 1999 год2004 год  — 2005 год,
,
,
1985 год  — 1989 год,
17 июля 1997 года  — январь 2008 года,
,
,
2000 год  — 2001 год,
,
,
1999 год  — 2000 год,
1998 год  — 2000 год,
,
,
,
,
1997 — 2000,
,
,
,
,
,
18 декабря 1999 года  — 18 сентября 2000 года,
,
,
,
1999 год  — 1999 год,
1998 год  — 1999 год,
15 сентября 1997 года  — 15 сентября 2010 года15 января 2000 года  — 1 июня 2006 года,
16 марта 1998 года  — настоящее время,
1 июня 1991 года  — 1 сентября 1999 года10 июня 1993 года  — настоящее время1995 год  — 2000 год,
,
июль 1998 года — настоящее время,
1997 год  — 1999 год,
,
,
,
,
,
1999 год  — 2001 год2003 год  — 2003 год,
,
16 декабря 1999 года  — 1999 год,
25 февраля 2016 года  — 25 мая 2016 года,
,
9 июля 1997 года  — настоящее время,
,
,
,
,
8 января 1997 года  — 13 февраля 2002 года10 июня 2009 года  — 16 ноября 2011 года14 апреля 2014 года  — настоящее время,
1995 год  — 1998 год2005 год  — 2013 год,
,
,
,
,
,
,
,
,
1 июня 1996 — 1 августа 1998,
1981 год  — 1986 год,
,
1978 год  — 1979 год,
,
20 сентября 1996 года  — 20 мая 1999 годаоктябрь 1998 — февраль 199914 июля 2000 года,
,
,
1988 год  — 1994 год,
1994 год  — 2003 год1996 год  — 2003 год1998 год  — 2001 год2002 год  — 2003 год2002 год  — 2002 год2005 год  — настоящее время,
,
1997 год  — 1999 год,
,
1989 год  — 1996 год,
,
22 июля 1997 года  — настоящее время,
,
,
,
30 ноября 1982 года  — 15 ноября 1987 года1 сентября 1984 года  — 31 июля 1989 года10 августа 1986 года  — 1987 год1986 год  — 2000 год2007 год  — 2013 год2015 год  — настоящее время,
,
,
,
,
,
1962 год  — 1965 год,
1968 год  — н. в.,
,
январь 1976 — настоящее время,
,
1998 год  — 2000 год,
,
,
,
1998 год  — 1998 год,
,
1990 год  — 1998 год,
1990 год  — 1991 год,
8 января 1967 года  — 5 ноября 1967 года1997 год  — 1998 год,
,
,
1996 год  — 2005 год,
Июнь 1994 года — Февраль 2006 года,
,
,
30 января 1997 года  — 6 июля 2000 года,
,
,
,
,
18 сентября 1997 года  — 18 июня 1998 года18 октября 1998 года  — 18 февраля 2000 года,
,
1993 год  — 2004 год,
,
,
1992 год  — 1999 год1997 год  — 2002 год,
,
1995 год  — 2002 год,
1980 год  — 1984 год,
13 декабря 1996 года  — 27 сентября 2002 года,
,
,
1999 год  — 2000 год,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1997 год  — 1998 год,
,
,
1992 год  — 1993 год,
,
,
11 октября 1995 года  — 19 мая 1999 года10 ноября 2017 года  — настоящее время,
1995 год  — 1997 год,
1998 год  — 1999 год,
,
,
1996 год  — 1997 год,
,
1997 год  — 1998 год2020 год  — 2021 год,
,
,
1993 год  — 2000 годмарт 1999 — август 1999,
,
,
29 августа 1989 года  — настоящее время,
,
,
1966 год  — 1968 год,
,
1995 год  — 1996 год,
1993 год  — 1996 год,
,
1993 год  — 1996 год,
,
,
1992 год  — 1999 год,13 января 2005 года  — 30 марта 2005 года
1991 год  — 1997 годсентябрь 2004 — октябрь 2008,
1992 год  — 1997 год,
,
,
,
август 1986 года — июнь 1996 года,
,
1989 год  — 1990 год,
1992 год  — 1997 год2010 год  — 2011 год,
1994 год  — 1996 год2004 год  — настоящее время,
август 1989 года — ноябрь 1989 года,
,
1988 год  — 1996 год,
июнь 1995 — март 2003,
,
24 мая 1992 года  — 2003 (выпуск приостановлен),
1998 год  — настоящее время,
25 апреля 1994 года  — 4 ноября 1999 года,
,
,
,
,
1999 год  — 2001 год2007 год  — 2011 год,
,
,
,
,
,
,
1992 год  — 1998 год,
,
,
,
1991 год  — 1994 год1996 год  — 1997 год,
,
,
,
,
1993 год  — 1998 год,
1999 год  — 2000 год,
21 сентября 1976 года  — 17 сентября 2016 года,
29 января 1997 года  — 27 января 1999 года,
26 марта 1984 года  — 28 сентября 1987 года,
,
1995 год  — 1999 год,
,
24 августа 1993 года  — 11 мая 1999 года18 июля 2007 года  — 22 июня 2016 года28 мая 2014 года  — 5 декабря 2018 года2018 год  — настоящее время,
1 августа 1968 года  — 25 сентября 1972 года13 мая 1994 года  — 12 декабря 1995 года14 августа 2003 года  — 2003 год1 марта 2007 года  — 16 апреля 2008 года,1 октября 1970 года  — 1 апреля 1971 года
,
,
1992 год  — 2003 год,
1995 год  — 1997 год,
1960 год  — 1969 год,
,
,
,
,
1985 год  — 1988 год2003 год  — 2008 год11 октября 2008 года  — 27 августа 2012 года,
7 мая 1992 года  — 5 февраля 2000 года,
1994 год  — 1996 год,
,
,
1965 год  — 1975 год,
1991 год  — 1997 год,
1992 год  — 2001 год,
19 января 1994 года  — настоящее время,
1996 год  — 1997 год,
1 мая 1992 года  — 1 июля 1996 года25 октября 2003 года  — 14 февраля 2013 года,
,
1989 год  — настоящее время1991 год  — 2008 год,
,
,
20 ноября 1984 года  — 5 июня 1995 года20 июня 2015 года  — настоящее время,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2003 год  — 2004 год,
1983 год  — 1986 год26 октября 2006 года  — 26 января 2007 года,
9 ноября 2002 года  — 10 ноября 2011 года1 февраля 2005 года  — октябрь 201119 сентября 2007 года  — сентябрь 2012,
,
10 апреля 2005 года 2005 год  — настоящее время,
,
2002 год  — 2007 год,
,
,
19 июля 1999 года  — 3 марта 2008 годаноябрь 2008 года — настоящее время4 марта 2009 года  — настоящее время,
21 мая 2003 года  — 17 ноября 2009 года,
24 февраля 2003 года  — 9 февраля 2011 года2006 год,24 февраля 2013 года  — 16 апреля 2013 года
21 февраля 2005 года  — 21 января 2007 года18 марта 2005 года  — 18 марта 2008 года,
17 апреля 2004 года  — 17 октября 2007 года,
1986 год  — 1991 год23 августа 2002 года  — 16 декабря 2002 года,
,
,
,
,
,
2000 год  — 2005 год,
15 февраля 2002 года  — настоящее время,
2004 год  — 2007 год,
,
,
2002 год  — 2005 год,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2005 год  — 2006 год,
,
2003 год  — 2006 год8 июня 2004 года  — 10 января 2006 года,
,
декабрь 1999 года — октябрь 2001 года,
1979 год  — настоящее время2004 год  — 2008 год,
,
,
2000 год  — 2011 год,
8 марта 2012 года,
2005 год  — 2006 год,
24 февраля 2006 года  — 25 апреля 2006 года,
,
,
2009 год  — продолжается,
,
2002 год  — 2007 год,
январь 2000 — июль 2006,
,
2005 год  — 2007 год,
,
2002 год  — 2005 год,
,
2002 год  — 2007 год,
октябрь 2003 — февраль 200810 декабря 2003 года  — 10 мая 2007 года,
1998 год  — 1998 год,
октябрь 2001г. — август 2003г.27 августа 2007 года  — 27 февраля 2009 года,
1985 год  — 1986 год25 июня 2011 года  — 2016 год,
1997 год  — 2000 год,
2005 год  — 2008 год3 октября 2008 года  — 3 июля 2009 года,4 ноября 2006 года  — 27 января 2007 года
8 февраля 2002 года  — 2009 год,
1999 год  — 2009 год,
апрель 1999 — октябрь 2006 года,
2003 год  — 2006 год2005 год  — 2006 год,
июнь 2000 — 28 июля 2006 года,
1992 год  — 2005 год,
26 июля 2005 года  — 16 сентября 2006 года2005 год  — 26 сентября 2006 года29 октября 2005 года  — 31 мая 2006 года,
1999 год  — 2005 год,
,
,
10 февраля 2003 года  — 10 апреля 2004 года10 августа 2004 года  — 10 июля 2006 года,
,
ноябрь 2001 года — 2003 год,
30 августа 2002 года  — 31 мая 2006 года2006 год  — 2008 год22 марта 2005 года  — 29 октября 2005 года,
3 февраля 2003 года  — 6 марта 2013 года,
2001 год  — 2005 год,
июнь 2003 — октябрь 2007август 2004 — июнь 2006октябрь 2006 — октябрь 2008,
,
1992 год  — 2018 год,
2001 год  — 2010 год25 октября 2010 года  — 25 мая 2017 года,
10 августа 2004 года  — 10 февраля 2006 года,
Апрель 2001 — Ноябрь 200210 ноября 2002 года  — 2008 год,
8 января 2002 года  — 20 августа 2011 года30 августа 2000 года  — 1 июля 2005 года30 января 2001 года  — 1 апреля 2003 года1 июля 2003 года  — 2003 год1 ноября 2003 года  — 1 сентября 2006 года1 августа 2005 года  — 20 сентября 2013 годаFujimi Fantasia Bunko20.08.2011 — 20 февраля 2016 года24 июня 2012 года  — 26 августа 2014 года20 сентября 2014 года  — настоящее время26 апреля 2015 года  — настоящее время,
25 марта 2004 года  — 24 февраля 2007 года25 июля 2007 года  — 22 августа 2009 года,
,
2005 год  — 2006 год,
10 августа 2005 года  — 10 декабря 2005 года,
10 марта 2001 года  — 10 мая 2005 года,
17 марта 2000 года  — настоящее время17 марта 2017 года  — 17 февраля 2020 года,
,
,
1994 год  — 1995 год,
2002 год  — настоящее время20 июля 2008 года,
март 2001 — январь 2005 года17 марта 2004 года  — настоящее время,
6 января 2001 года  — 4 октября 2004 года10 марта 2003 года  — 24 октября 2005 года,
1999 год  — август 2008,
1 декабря 1969 года  — 1996 год,
18 февраля 1985 года  — настоящее время,
1 апреля 2000 года  — 1 августа 2003 года,
2 мая 2003 года  — 9 августа 2004 года,
16 января 2002 года  — 10 января 2007 года,
26 декабря 2005 года  — 26 апреля 2007 года26 апреля 2006 года  — 26 декабря 2006 года26 апреля 2006 года  — 26 декабря 2006 года,
,
,
2000 год  — 27 марта 2008 года,
2004 год  — 2005 год22 апреля 2005 года  — настоящее время,
,
27 августа 2004 года  — 27 июня 2005 года,
,
,
2001 год  — 2013 год,
28 февраля 2002 года  — 28 декабря 2009 года15 июля 2003 года  — настоящее время29 августа 2005 года  — настоящее время,
,
,
,
,
,
,
23 мая 2009 года  — 23 марта 2010 года,
1967 год  — 1968 год1983 год  — 1986 год,
,
1999 год  — настоящее время,
2004 год,
22 октября 2002 года  — 23 июля 2008 годаапрель 2004 — декабрь 200720 сентября 2008 года  — 20 мая 2009 года,
,
,
2000 год  — 2006 год,
1994 год  — 2001 год,
26 февраля 2003 года  — 2012 год,4 октября 2007 года  — 27 марта 2008 года
,
1 сентября 1995 года  — 1 июля 1996 года,
2003 год  — 2004 год,
1980 год  — 1982 год,
1990 год  — 2004 годмарт 1996 — октябрь 1997,
11 ноября 2004 года  — 7 июля 2005 года,
2003 год  — 2005 год,
12 августа 2002 года  — 30 мая 2007 года17 апреля 2008 года  — 23 января 2014 года19 февраля 2016 года  — 19 марта 2019 года,
,
,
2005 год  — 2008 год,
,
,
Апрель 1999 — Сентябрь 2002,
,
1967 год  — 1988 год,
26 декабря 2000 года  — 26 мая 2005 года,
2000 год  — настоящее время26 декабря 2005 года  — 26 июля 2016 года,
26 февраля 2001 года  — 26 января 2006 года,
25 сентября 2002 года  — 21 июля 2004 года,
2002 год  — 2006 год,
19 декабря 2000 года  — 20 июня 2013 года,
1 октября 2004 года  — 25 июня 2005 года,
,
24 апреля 1998 года  — 28 апреля 2012 годаоктябрь 2003 — декабрь 2007,
,
2004 год  — 2005 год,
10 января 2005 года  — 2005 год27 апреля 2005 года  — 27 января 2006 года26 сентября 2014 года  — 26 февраля 2018 года,
1997 год  — 2013 год,
2002 год  — 2005 год,
2002 год  — 2009 год,
,
3 марта 2004 года  — 28 декабря 2004 года,
24 января 1979 года  — 11 ноября 1981 года2018 год  — настоящее время,
19 февраля 2003 года  — 20 июня 2013 года,
,
1979 год  — 1986 год,
,
23 августа 2000 года  — февраль 2007,
2004 год  — 2005 год,
18 октября 2002 года  — 18 ноября 2005 года,
16 февраля 2001 года  — 29 ноября 2002 года,
,
15 февраля 1985 года  — 15 апреля 1989 года,
5 августа 1997 — 12 октября 2020,
1995 год  — 1998 год,
2 августа 2004 года  — 29 октября 2004 года,
,
17 февраля 2000 года  — 17 мая 2008 года,
,
,
,
11 августа 2004 года  — 21 декабря 2004 года,
,
1998 год  — 2010 год,
,
,
,
26 декабря 2005 года — настоящее времяФевраль 2006 — настоящее время,
2002 год  — 2004 год,
2004 год  — 2008 год,
30 апреля 1999 года  — 4 сентября 2003 года,
Май 2005 — Май 2008,
5 апреля 2001 года  — 22 августа 2016 года15 декабря 2004 года  — 4 сентября 2012 года,
23 июля 2003 года  — 23 февраля 2004 года,
,
2002 год  — 2005 год,
2003 год  — 2006 год,
2006 год  — 2007 год,
,
,
,
,
,
,
,
,
,
,
,
,
2004 год  — 2005 год,
,
,
,
2003 год  — 2011 год,
19 ноября 2007 года  — 2007 год22 ноября 2010 года  — 22 апреля 2011 года,
25 июня 2004 года — 22 февраля 2017 годаАвгуст 2006 — Октябрь 2009,
,
10 декабря 2005 года  — настоящее время,
,
,
март 2007 — февраль 2008,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
19 февраля 1996 года  — настоящее время,
,
,
,
,
2003 год  — 30 июня 2011 года8 июня 2005 года  — 24 марта 2012 года,
1 октября 2002 года  — продолжается,
2006 год  — 2007 год,
,
21 декабря 2006 года  — 21 февраля 2008 года,
2002 год  — настоящее время,
6 июля 2007 года  — 28 декабря 2007 года,
2004 год  — 2008 год,
май 2004 — июнь 2008,
2005 год  — 2006 год2006 год  — 2008 годиюль 2008 — декабрь 2008,
,
2006 год  — 17 июня 2013 года1 марта 2007 года  — 2012 год,
,
,
,
,
,
,
,
,
,
25 марта 1995 года  — 25 августа 2007 года,
26 мая 2006 года  — 26 сентября 2007 года,
31 августа 2004 года  — 30 марта 2013 годаавгуст 2006 года — август 2009 года26 мая 2007 года  — 26 апреля 2008 года,
,
,
25 августа 2007 года  — 26 января 2008 года,
2003 год  — 2010 год,
,
9 июля 2004 года  — 22 января 2011 года,
10 июля 2001 года  — 10 октября 2009 года10 сентября 2009 года  — 10 сентября 2010 года,16 октября 2006 года  — 25 декабря 2006 года4 января 2008 года  — 25 января 2008 года
26 июня 2005 года  — 26 февраля 2013 года,
30 июня 2006 года 30 сентября 2006 года  — 26 января 2010 года27 апреля 2007 года  — 27 февраля 2008 года,
,
24 февраля 2007 года  — 2009 год,
2002 год  — настоящее время30 ноября 2004 года  — 22 марта 2007 года,
2002 год  — 2010 год,
июль 1996 — февраль 200722 сентября 2007 года  — 11 июля 2008 года,
2000 год  — н. в.,
17 августа 2007 года  — 1 августа 2008 года,
2000 год  — 2010 год,
2005 год  — 2014 год,
,
30 марта 2007 года  — 30 ноября 2007 года,
,
1 марта 2004 года  — настоящее время,
январь 2004 — настоящее время1 сентября 2007 года  — настоящее время,
,
,
1 мая 2003 года  — 1 мая 2014 года27 декабря 2003 года  — 30 августа 2008 года26 марта 2007 года  — 26 октября 2007 года,
22 мая 2005 года  — 22 апреля 2013 года,
30 июня 2006 года  — настоящее время2006 год  — 2007 год2007 год  — 2008 год25 августа 2006 года  — 27 марта 2009 года2007 год  — 2008 год2006 год  — настоящее время,
1 сентября 2001 года  — 25 сентября 2007 года28 мая 2009 года  — 28 июля 2012 года,
2005 год  — 2008 год,
2006 год  — 2008 год,
2003 год  — 2005 год2007 год  — 2008 год,
,
2005 год  — 2009 год,
,
январь 2002 — март 20109 апреля 2007 года  — 6 марта 2008 года,
1 сентября 2001 года  — 1 февраля 2002 года1 марта 2003 года  — настоящее время1 марта 2003 года  — 1 ноября 2003 года1 ноября 2002 года  — 1 сентября 2003 года25 сентября 2003 года  — настоящее время29 января 2004 года  — настоящее время,
,
,
,
2004 год  — 2005 год,
24 марта 2005 года  — 22 ноября 2011 года2 августа 2007 года  — 7 марта 2009 года,20 мая 2016 года  — 16 декабря 2016 года
7 марта 2006 года  — 7 декабря 2006 года,
20 октября 2004 года  — 12 апреля 2017 года,
2006 год  — 2010 год,
2007 год  — 2008 год,
2004 год  — настоящее время31 марта 2007 года  — 30 сентября 2007 года,
22 апреля 2006 года  — 11 июля 2008 года,
,
,
27 июля 2007 года  — 2008 год,
2007 год  — 2008 год2009 год  — 2011 год,
1 декабря 2005 года  — 21 декабря 2007 года,
27 февраля 2005 года  — 27 января 2015 годаиюль 2006 — июль 200825 октября 2007 года,
,
28 ноября 2004 года  — 9 февраля 2008 года,
19 марта 2007 года  — 19 августа 2007 года,
25 ноября 2003 года  — 25 июня 2009 года24 мая 2007 года  — 18 июня 2008 года,
4 апреля 2007 года  — 20 октября 2010 года3 июля 2007 года  — 31 октября 2010 года,
,
,
10 февраля 2003 года  — настоящее время27 декабря 2006 года  — 27 февраля 2008 года16 октября 2015 года  — 6 января 2017 года,
3 декабря 2004 года  — 3 сентября 2010 года2008 год  — 2013 год25 мая 2013 года  — 25 августа 2016 года,
,
ноябрь 2003 — настоящее время,
,
,
25 ноября 1996 года  — 25 июля 2003 года,
2000 год  — 2015 год2016 год  — настоящее время,
6 июля 2006 года  — январь 2010март 2010 — август 2010,
20 августа 2000 года  — 18 сентября 2010 года,
7 ноября 2005 года  — 7 марта 2009 года25 ноября 2005 года 21 июня 2007 года  — 21 августа 2008 года30 июня 2007 года  — 28 апреля 2014 года20 февраля 2008 года  — 20 августа 2008 года,
,
30 августа 2006 года  — 30 января 2009 года,
,
2007 год  — 2008 год,
1999 год  — 2001 год,
13 сентября 1983 года  — 8 августа 1988 года18 декабря 1986 года  — настоящее время2001 год  — 2010 год25 октября 2017 года  — настоящее время10 марта 2006 года  — 8 июня 2007 года7 сентября 2007 года  — 12 декабря 2008 года26 декабря 2008 года  — 28 августа 2009 года2013 год  — 2013 год2013 год  — 2013 год24 марта 2006 года  — 24 августа 2007 года25 сентября 2010 года  — 20 августа 2016 года2013 год  — настоящее время,
6 июня 2001 года  — 4 октября 2014 года,
январь 1977 — май 1980май 2007 — настоящее время,
,
21 сентября 1999 года  — 2 февраля 2015 года,
,
1999 год  — 2000 год,
27 апреля 2005 года  — 13 июня 2012 года,
,
,
2007 год  — 2013 год17 августа 2007 года  — 19 декабря 2008 года26 августа 2008 года  — 26 января 2009 года,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2004 год  — 2008 год2004 год  — 2006 год,
,
,
30 сентября 2005 года  — 30 ноября 2006 годаДекабрь 2007 — Октябрь 2010,
,
,
,
25 февраля 2004 года  — 25 апреля 2004 года,
28 января 2002 года 24 июня 2004 года  — 6 июня 2007 года,
1999 год  — настоящее время2005 год  — настоящее время,
,
2006 год  — 2007 год,
декабрь 2002 года — апрель 2013 года,
2002 год  — 2006 год2006 год  — 2008 год,
2001 год  — настоящее время2006 год  — настоящее время,
"январь 2006 г. — июль 2006, г.август 2006 — декабрь 2006август — декабрь 2006 года",
,
13 октября 2000 года  — 13 февраля 2015 года,
,
2002 год  — настоящее время,
2006 год  — 2007 год,
26 июля 2006 года  — 25 октября 2008 года,
2002 год  — 2007 год,
15 мая 2000 года  — 26 мая 2009 года,
4 октября 2004 года  — 7 ноября 2012 года,
1 июля 2006 года  — 1 июня 2007 года,
5 марта 2004 года  — 24 мая 2011 года,
2004 год  — 2009 год,
2006 год  — 2007 год29 апреля 2008 года  — 3 декабря 2010 года2003 год  — настоящее время2008 год  — настоящее время,
,
,
2002 год  — 2003 год,
2003 год  — 2011 год,
21 мая 2004 года  — 21 апреля 2007 годаянварь 2006 года,
30 декабря 2003 года  — 30 июля 2005 года1 ноября 2005 года  — настоящее время10 марта 2006 года  — 10 декабря 2006 года,
,
